samples,frequencies,BPM
0.0,20,
0.0,20,
-2.8665356E-6,20,
-6.207152E-5,20,
-1.1532293E-4,18,
-8.268853E-6,18,
-3.693421E-5,18,
-3.6713707E-5,18,
-5.2810406E-5,18,
-8.820109E-5,18,
1.929399E-5,18,
6.6150824E-5,18,
5.071563E-5,18,
1.9073486E-5,18,
-1.686846E-5,18,
-8.875236E-5,18,
-9.5918695E-6,18,
-5.953574E-6,18,
1.8411978E-5,18,
7.6073447E-6,18,
1.2127651E-5,18,
-1.532494E-5,18,
-2.6019323E-5,18,
4.8510603E-5,18,
-5.62282E-6,18,
2.42553E-6,18,
2.171952E-5,18,
-7.717596E-6,18,
7.717596E-7,18,
1.1025137E-7,18,
-2.646033E-5,18,
-1.9624744E-5,18,
4.2998035E-6,18,
1.9845247E-6,18,
2.249128E-5,18,
2.646033E-5,18,
-1.212765E-6,18,
1.4332678E-6,18,
-6.2843283E-6,18,
-3.7485465E-6,18,
-1.0914886E-5,18,
3.3075412E-6,18,
-1.2127651E-5,18,
-1.5104438E-5,18,
2.7562842E-6,18,
-3.0870383E-6,18,
8.379104E-6,18,
1.60967E-5,18,
9.922624E-6,18,
-2.2050274E-7,18,
-5.7330712E-6,18,
-7.2765906E-6,18,
1.1025137E-6,18,
3.4177924E-6,18,
5.7330712E-6,18,
-2.5357815E-6,18,
-9.481618E-6,18,
3.3075412E-7,18,
-6.835585E-6,18,
2.7562842E-6,18,
9.150864E-6,18,
2.42553E-6,18,
3.4177924E-6,18,
-4.4100548E-6,18,
-6.6150824E-7,18,
4.0793007E-6,18,
-2.976787E-6,18,
9.922624E-7,18,
-5.953574E-6,18,
-1.7640219E-6,18,
1.1025137E-6,18,
5.292066E-6,18,
1.6537706E-6,18,
7.0560877E-6,18,
2.646033E-6,18,
7.717596E-7,18,
4.0793007E-6,18,
1.212765E-6,18,
-1.5435191E-6,18,
-3.6382953E-6,18,
-5.5125685E-7,18,
2.2050274E-7,18,
-2.2050274E-7,18,
-5.5125685E-7,18,
3.7485465E-6,18,
2.5357815E-6,18,
0.0,18,
-1.1025137E-6,18,
-4.4100548E-7,18,
1.9845247E-6,18,
-5.5125685E-7,18,
-1.212765E-6,18,
1.5435191E-6,18,
-1.8742733E-6,18,
5.5125685E-7,18,
9.922624E-7,18,
9.922624E-7,18,
1.212765E-6,18,
1.5435191E-6,18,
5.5125685E-7,18,
-1.5435191E-6,18,
6.6150824E-7,18,
