samples,frequencies,BPM
0.0,172,
0.0,172,
0.0,172,
0.0,172,
0.0,172,
5.7944767E-6,172,
-2.8972385E-5,172,
-7.725969E-6,172,
0.008094884,166,
-0.006246929,166,
-0.002711815,166,
-0.0066163265,166,
4.90599E-4,166,
-0.010215662,166,
0.010784004,166,
0.020145465,166,
0.0024331973,166,
-3.5732606E-5,166,
-0.0011207483,166,
-0.003225592,166,
-0.0051416326,166,
-0.008479251,166,
-0.008093919,166,
-0.0068490715,166,
-0.0015041496,166,
7.3783007E-4,166,
7.0692616E-4,166,
0.0037215026,166,
0.0043347515,166,
0.007243579,166,
0.008100678,166,
0.0052213063,166,
0.0017813187,0,
-0.0015717518,0,
