samples,frequencies,BPM
0.0,80,
0.0,80,
2.2439396E-7,80,
-1.4585607E-6,80,
-0.0067253113,6,
0.012543061,6,
0.037065506,6,
-0.051448375,6,
-0.014640472,5,
0.028226629,5,
-0.03788701,5,
0.009413663,5,
-0.009425219,5,
-0.0010901059,5,
0.058079664,5,
-0.016937144,5,
-0.012490104,5,
0.020612493,5,
-0.013078353,5,
-0.012342453,5,
0.052900538,5,
-0.06199298,5,
-0.024550382,5,
0.04362701,5,
-0.03798193,5,
0.018892176,5,
0.06781915,5,
-0.09799161,6,
0.071927354,6,
0.019912831,6,
-0.08827097,6,
0.11479939,6,
-0.09504879,6,
-0.021392485,6,
0.109749965,6,
-0.113504075,6,
0.043730006,6,
0.06572185,6,
-0.11532626,6,
0.11003281,6,
-0.067471,6,
-0.054598864,6,
0.14313653,6,
-0.10887224,6,
0.02829462,6,
0.04853619,6,
-0.102901906,6,
0.09660822,6,
-0.017528646,6,
-0.06385332,6,
0.06467651,6,
-0.040468328,6,
0.014955409,6,
0.015540179,6,
-0.01976877,6,
0.023266511,6,
-0.010027941,6,
0.010748134,6,
-0.031977262,6,
0.029956818,6,
0.009453605,6,
-0.0707108,6,
0.081853084,6,
-0.05193553,6,
-0.020983864,6,
0.098458685,6,
-0.11895034,6,
0.06430009,6,
0.0064810584,5,
-0.044860616,5,
0.06613574,5,
-0.04503295,5,
0.014872382,5,
0.026130116,5,
-0.012589735,5,
-0.005560931,5,
-0.007310194,5,
-0.0041629565,5,
-0.011699788,5,
0.04560437,5,
-0.068056665,5,
0.0450564,5,
-0.0678463,5,
0.024150625,5,
0.07607886,5,
-0.061033584,5,
0.038523283,5,
0.003536,5,
-0.07528698,5,
0.08290437,5,
-0.022483826,7,
3.600401E-4,7,
0.001560099,7,
-0.0375861,7,
0.013226116,40,
0.0023758833,40,
0.012231491,40,
0.016164891,40,
-0.030555949,5,
0.03281268,5,
-0.014098112,5,
-0.004203572,5,
6.5466936E-4,3,
2.9777078E-4,3,
-3.747379E-4,3,
-4.3981214E-5,5,
-5.1835003E-5,5,
8.9757583E-7,5,
4.936667E-6,5,
-1.3149486E-4,5,
1.5741236E-4,5,
5.722046E-5,5,
-2.0565707E-4,5,
1.9241782E-4,7,
0.014308481,7,
-0.01996938,7,
0.008563435,7,
0.026796902,8,
-0.025072321,8,
0.011048597,8,
-0.025398254,5,
0.01692772,5,
-0.0034364813,5,
-0.014283461,5,
0.022683311,5,
-0.013390934,5,
-0.0031397203,5,
0.006280787,5,
-0.002030541,5,
5.4078944E-5,5,
4.6225156E-5,5,
-3.309811E-5,5,
-4.162508E-5,5,
-1.09728644E-4,5,
1.8770555E-4,5,
-1.3418759E-4,8,
0.0023976495,8,
0.0126407845,8,
-0.010822184,8,
0.020506578,5,
-0.009485581,5,
-0.03261241,5,
0.021449706,5,
-0.0045853783,5,
-0.0077516893,5,
0.020688673,5,
-0.015778597,5,
5.521213E-4,5,
0.0050052195,5,
-0.0023149604,5,
4.529392E-4,5,
-4.7683716E-5,5,
-2.154182E-4,5,
1.335144E-4,5,
-4.1176292E-5,7,
-1.1780683E-5,7,
-6.170834E-6,7,
-1.0737251E-4,7,
0.002393498,36,
-0.008740145,36,
0.022837022,36,
-0.016670115,36,
-0.014797322,5,
-0.010450812,5,
0.032656614,5,
-0.028591268,5,
0.036376055,5,
0.002595677,5,
-0.02186259,5,
-0.0050320346,37,
0.01673934,37,
-0.018295737,37,
0.0123779075,37,
-6.97753E-4,36,
0.036591586,36,
-0.02823089,36,
-0.002046585,36,
-0.015414294,5,
-0.03703656,5,
0.057051715,5,
0.0026710734,5,
-0.023152519,5,
0.031945508,5,
-0.02880893,5,
4.646077E-4,5,
0.0140817305,5,
-0.01543707,5,
0.004496294,5,
0.0017282823,3,
5.174525E-4,3,
2.524432E-5,3,
-4.82447E-5,3,
-6.5635235E-5,5,
2.3359411E-4,5,
-2.15306E-4,5,
1.4361213E-5,5,
1.3418759E-4,5,
-1.5730016E-4,5,
1.2678259E-5,5,
1.1219698E-5,43,
1.4394872E-4,43,
