samples,frequencies,BPM
0.0,0,
0.0,0,
0.0,0,
-2.6019323E-5,0,
-1.3186064E-4,0,
-8.5444815E-5,0,
-3.208315E-5,0,
-9.040612E-6,0,
-2.502706E-5,14,
-1.3560919E-5,14,
2.5357815E-6,14,
-1.124564E-5,14,
-1.1796897E-5,14,
-9.261115E-6,14,
-2.3704044E-5,14,
-6.2843283E-6,27,
1.0584132E-5,27,
-1.33404155E-5,27,
-9.261115E-6,27,
3.3075412E-6,27,
-3.9690494E-6,27,
3.5280439E-6,27,
1.4332678E-6,27,
-9.150864E-6,27,
2.646033E-6,27,
7.717596E-7,27,
1.6537706E-6,27,
-1.9845247E-6,27,
-2.3152788E-6,27,
-7.2765906E-6,27,
2.976787E-6,14,
1.0584132E-5,14,
2.646033E-6,14,
-9.371366E-6,14,
8.8201095E-6,27,
-5.62282E-6,27,
-3.4177924E-6,27,
4.4100548E-6,14,
-3.3075412E-6,14,
-7.717596E-6,14,
1.3450667E-5,14,
6.9458365E-6,14,
4.4100548E-7,14,
1.2017399E-5,14,
-9.261115E-6,14,
-7.166339E-6,14,
1.6537706E-6,14,
-3.858798E-6,14,
-9.150864E-6,14,
3.0870383E-6,14,
-2.7562842E-6,14,
3.3075412E-7,14,
6.9458365E-6,27,
-6.3945795E-6,27,
-8.04835E-6,27,
2.491681E-5,27,
4.85106E-6,27,
-1.3230165E-6,27,
0.0,27,
-9.812372E-6,27,
-1.047388E-5,27,
9.371366E-6,27,
-1.3230165E-5,27,
-1.4332678E-5,27,
2.5357815E-6,27,
-7.827847E-6,27,
-5.62282E-6,27,
1.3230165E-6,27,
-5.7330712E-6,27,
1.3230165E-6,27,
1.3230165E-6,27,
-2.3152788E-6,27,
-3.7485465E-6,27,
-1.03636285E-5,27,
-6.7253336E-6,27,
-8.930361E-6,27,
-5.1818142E-6,27,
-1.3230165E-6,27,
-7.386842E-6,14,
5.7330712E-6,14,
1.5876198E-5,14,
0.0,14,
-2.3152788E-6,14,
1.2458405E-5,14,
-5.5125685E-7,14,
2.7562842E-6,14,
-2.3152788E-6,14,
-1.5655694E-5,14,
-4.2998035E-6,14,
2.5357815E-6,14,
-4.85106E-6,14,
